Duration (in seconds),Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_text,Q3.1,Q3.1 text,Q3.2,Q3.2 text,Q3.3,Q3.3 text,Q3.4,Q3.4 text,Q3.5,Q3.5 text,Q3.6,Q3.6 text,Q3.7,Q3.7 text,Q3.8,Q3.8 text,Q3.9,Q3.9 text,Q3.10,Q3.10 text,Q3.text,Q4,Q5,Q5_text,Q6,Q6_9_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8a_1,Q8a_2,Q8a_3,Q8a_4,Q8a_5,Q8a_6,Q8a_7,Q8a_8,Q8a_9,Q8a_10,Q8a_11,Q8b_1,Q8b_2,Q8b_3,Q8b_4,Q8b_5,Q8b_6,Q8b_7,Q8b_8,Q8b_9,Q8b_10,Q8b_11,Q9a_1,Q9a_2,Q9a_3,Q9a_4,Q9a_5,Q9a_6,Q9a_7,Q9a_8,Q9a_9,Q9a_10,Q9b_1,Q9b_2,Q9b_3,Q9b_4,Q9b_5,Q9b_6,Q9b_7,Q9b_8,Q9b_9,Q9b_10,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q16,Q17,Q17_3_TEXT,Q18,Q19,Q20,Q20_9_TEXT,Q22
2315,2,1,4,2,5,,47,,3,,3,,2,,3,,2,,4,,4,,3,,4,,,2,4,It is part of solution,1,,2,2,2,2,2,2,6,6,6,4,6,6,3,2,1,6,2,6,6,2,2,6,6,2,2,5,6,2,3,3,4,4,4,4,3,4,1,3,4,3,3,4,4,3,4,4,4,4,4,,4,4,5,3,3,3,4,5,4,4,3,3,3,6,4,4,4,5,4,1,4,2,4,4,3,2,1,5,5,3,5,4,1,6,5,,1,,40,2,7,,No
1103,2,3,4,2,4,,49,,2,,1,,1,,2,,1,,4,,4,,3,,4,,,1,3,Cost implications. ,2,,3,3,3,4,3,3,4,4,3,4,4,4,4,3,4,4,3,4,4,3,3,3,3,4,3,4,3,3,3,4,3,3,3,4,2,3,3,4,4,4,3,3,4,4,4,3,3,3,3,,3,3,3,3,3,3,4,4,3,3,3,3,4,2,2,3,4,4,4,2,4,4,4,4,4,3,2,4,3,4,4,4,3,3,4,,2,,20,2,7,,
1180,2,3,5,2,5,,50,,4,,4,,6,,6,never heard of that one,1,messing with nutrient balances in the ocean is likely to impact the food web and cause harmful algal bloomsw,5,,3,"worthy to look at but if trees were never there, I suppose there is a good reason for it",2,,5,,,2,3,don't know enough to have a strong opinion either way,2,,1,1,1,3,3,3,4,4,6,4,1,4,3,3,3,5,3,2,2,1,2,1,4,3,2,2,5,3,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,,1,3,2,4,4,4,4,5,5,4,3,3,3,1,3,2,2,3,2,2,5,2,3,4,4,2,2,4,1,4,5,3,2,1,4,,1,,51,3,7,,too many questions about a technology i have never heard of before
1878,2,2,3,4,5,,49,,3,,3,,1,,3,,3,,4,,4,,3,,3,,,2,2,"Very expensive, untested technology, and vulnerable to damage from storms.",2,,2,3,2,3,3,2,4,4,6,4,2,6,4,4,4,4,4,2,2,6,2,6,2,2,3,3,4,3,3,3,2,4,3,3,2,2,3,3,3,3,3,4,4,3,4,3,4,4,3,Needs more research,3,3,3,4,4,4,3,5,5,4,4,3,2,2,4,3,2,4,3,2,3,3,3,3,4,2,2,5,5,4,4,4,2,3,4,,1,,52,3,7,,UBC alumni :-)
2128,2,2,4,3,4,,49,,3,,3,,3,,2,,2,,3,,4,,3,,4,,,2,3,I do not know enough about the mechanisms and consequences of injecting CO2 into the seabed rock,2,,1,2,2,3,3,3,4,4,4,4,2,4,3,2,4,5,4,3,3,3,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,,4,3,4,3,2,2,3,4,4,2,3,4,2,2,3,3,4,4,2,2,4,2,4,2,5,2,1,4,2,4,4,4,1,2,5,,2,,38,2,7,,
926,2,4,6,6,6,,48,,3,,3,,1,,2,,1,,2,,5,,2,,2,,,5,4,Most of the NET technologies are so poorly advanced that any demonstration project should be supported.,1,,2,3,2,4,5,3,3,6,3,4,2,6,3,3,6,5,4,2,2,5,5,3,2,5,5,5,5,5,1,1,1,1,1,2,2,1,6,1,5,5,5,2,5,5,5,5,6,5,4,,1,3,1,4,4,3,4,5,4,4,3,3,2,1,3,2,2,3,1,5,5,4,2,1,4,1,1,5,3,4,5,3,1,3,5,,1,,84,3,7,,
3175,2,4,4,4,2,,49,Worthy of consideration as a last resort and supplemental technology in combination with nature-based activiteis,4,As long as it is not cost prohibitive,4,,1,,3,As long as it is a net CO2 remover.....,1,"Until we know all future consequences of additing anything to the natural syste, we shrould refrain from such practices.",5,I am for any nature-based intervetions,5,This would have other cobenefits as well,4,Our group has ongoing research on this idea,5,Carbon farming...it also makes more people (farmers) involved in the process,"More inclusive, low cost technologies have better chances of gaining traction. There is uncertainty and high chances of pollution hotspots with any technology that calls for adding any ""substance' to nature in order to capture carbon. ",2,3,"A good idea, but it is not clear to me its cost and foot print, and any other side effects.",2,,1,3,3,5,5,2,6,6,4,5,4,4,5,5,5,5,5,3,2,3,4,2,4,4,5,5,4,5,3,4,3,4,3,4,6,3,4,2,2,4,2,4,3,3,6,3,5,2,4,"I am deeply concerned about the potential leakage, and the attendant damage to ecosystem. Once the technology hits the market place, there is no telling what control the society and regulations will have on the spread of this technology worldwide. We experience this with offshore drilling, nuclear power and other man made environmental disasters. I am all for CO2 reduction technology, but I would err on the side of caution before releasing the genie out of the bottle.",2,3,2,4,3,4,4,4,4,4,3,2,5,1,2,3,2,3,5,3,4,4,5,4,5,3,1,3,3,3,5,4,2,2,4,,1,,44,3,7,,Seems like a well structured survey.  Good luck with your work.
1192,2,2,4,4,4,,49,,3,,3,,3,,3,,4,,5,,5,,3,,5,,,2,4,We might need it to limit warming but I also don’t want to see ecosystems harmed by it,1,,3,2,2,4,2,1,3,6,6,4,2,4,4,3,3,4,2,3,3,3,3,3,2,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,,2,4,3,4,4,4,5,5,4,4,5,4,2,2,4,3,1,5,1,1,3,2,4,5,4,1,1,5,5,5,4,5,2,4,3,,2,,23,1,7,,
1125,2,4,3,4,4,,49,,1,,4,,1,,1,,1,,5,,2,,1,,5,,,2,2,"Deep sea mining has been shown to be destructive in a multitude of ways. I support the idea of solid carbon, however, not in the deep sea. ",2,,1,3,1,5,5,2,3,4,4,5,3,3,5,2,4,4,1,3,3,3,5,5,4,5,1,3,2,2,4,4,5,5,4,5,2,1,1,1,4,5,4,4,5,5,5,5,4,4,2,,3,4,4,2,4,3,5,5,5,3,5,1,5,1,1,1,4,5,2,1,1,1,5,5,5,2,1,5,4,4,5,5,1,3,2,,2,,12,2,7,,
2234,2,1,5,2,5,,47,Worthy of consideration but cannot accommodate a significant amount of carbon.,2,The scale of CO2 removal that is required makes this solution impractical.,5,,1,"My answer is based on the assumption that ""salts"" does not include limestone.  ",2,,1,This is my area of expertise and it absolutely will not work as a means of sequestering a significant amount of carbon,2,These ecosystems should be restored but the restoration cannot store a significant amount of carbon.  ,4,,3,,5,,"There was no question about using limestone, so I assume now that your question about ""salt"" included limestone.  You should have mentioned limestone specifically.  I have gone through the calculations for each of the ocean mechanisms that have been proposed for sequestering carbon from the atmosphere  and the only one that can achieve a GtC/yr on a possible human scale of operation is roasting limestone and spreading the lime across the entire ocean.  ",5,3,"I do not know enough about the technology to perform the necessary scaling calculations, but I suspect that when scaled to a GtC/yr that method would prove to be either impractical or prohibitively expensive.   ",2,,1,1,1,2,1,3,3,3,3,3,2,5,3,4,2,5,1,2,2,3,3,1,3,2,3,2,4,2,4,2,3,3,4,3,2,2,4,4,2,2,2,2,2,2,1,1,1,3,2,"Even though climate change is an important problem, I cannot support a solution until I have seen the appropriate scaling calculations and the associated costs.  ",1,1,1,4,4,4,3,5,4,4,4,4,1,6,4,4,3,2,5,5,5,5,4,3,3,2,2,3,3,4,5,5,1,2,3,,1,,51,2,7,,
1884,2,4,4,4,3,,49,,5,,3,,1,,3,,1,,5,,4,,3,,5,,,1,5,Anything that can be done to reduce the concentration of CO2 in the atmosphere will always be of great importance.,1,,1,1,1,3,4,4,2,2,2,4,2,4,4,3,1,2,1,1,1,1,2,1,3,3,2,5,3,4,4,4,6,4,4,4,4,4,3,4,4,5,4,4,5,5,5,5,5,4,5,,3,3,5,4,3,4,5,5,4,4,5,4,3,2,3,3,3,5,5,3,4,1,4,1,2,2,1,4,2,3,4,5,1,1,5,,1,,21,2,7,,
958,2,4,3,2,4,,47,,3,,4,,4,,3,,2,,2,,3,,2,,3,,,5,4,It has been demonstrated to work in Iceland,1,,1,1,2,1,1,1,3,3,2,2,2,2,1,1,2,3,2,2,2,1,1,1,2,1,1,1,2,1,4,3,4,4,4,3,4,4,4,4,3,2,3,3,4,3,4,4,3,3,5,,1,4,2,4,5,4,4,5,5,4,3,4,2,3,4,4,2,4,3,1,3,4,4,2,4,3,1,4,5,4,5,4,1,2,4,,1,,55,2,7,,
848,2,2,6,2,2,,47,,1,,1,,1,,6,,1,,5,,3,,1,,3,,,5,1,Scale is too small relative to the problem,5,,6,6,6,6,6,6,6,6,6,5,6,5,5,5,5,5,5,6,6,6,5,6,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,The potential scale is way way insufficient to be a meaningful strategy in avoiding additional effects of changing climate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,1,5,5,5,5,6,1,5,5,5,5,5,1,3,5,,1,,58,2,7,,It seems the persons who designed this survey are big time into the technology of solid carbon
3567,2,3,3,2,4,,48,,4,,3,,2,,2,,2,,5,,5,,1,,3,,,5,2,I think is better don't permit more emision of carbon.,2,,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,2,2,5,5,5,2,5,4,5,5,5,5,5,4,4,4,3,4,4,4,3,2,2,2,2,2,2,3,3,2,2,3,,1,1,1,2,1,1,5,3,3,3,5,3,3,2,1,4,4,5,4,3,4,2,3,4,4,2,1,4,4,1,5,5,1,3,5,,2,,27,1,6,,
2113,2,2,2,2,3,,50,,4,,4,,4,,4,,3,,3,,4,,4,,3,,,5,3,"I believe it is a useful tool, however, the science of a potential leakage could be catastrophic to marine life",2,,1,1,1,3,4,4,4,4,4,5,3,4,4,3,5,4,5,4,4,4,5,3,4,5,2,5,3,5,3,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,2,There is need for more scientific studies on the potential effect of accidental CO2 release,1,2,2,3,3,3,4,5,4,3,3,3,3,3,2,3,3,5,2,4,5,3,5,5,5,3,1,4,3,5,1,5,1,3,5,,1,,18,2,6,,
2404,2,2,2,4,4,,48,,2,,1,,1,,1,,2,,5,,5,,1,,4,,use some microorganisms or microalgae to  remove co2,1,2,this project might have negative impact s on geological characteristics.,2,,2,1,4,5,5,4,3,3,4,5,2,4,5,4,4,4,4,4,3,4,5,1,4,4,3,3,4,1,2,4,4,3,4,2,2,2,3,3,2,2,3,3,3,3,2,3,2,3,2,,4,3,5,4,4,4,4,5,4,3,4,2,3,2,4,4,,2,4,4,4,1,2,2,4,5,2,5,4,5,5,5,2,2,4,,1,,18,5,7,,the co2 could be storaged based on ecological engineering.
1368,2,2,4,3,4,,48,,3,,4,,1,,2,,3,People forget that most of the carbon will return to atmospheric contact within about 1000 to 2000 years.,2,,3,,3,,3,,,5,4,I would rank it higher if I knew of calculations suggesting that it could make a substantial subtraction at reasonable cost.,1,,1,1,1,2,1,1,4,3,1,2,1,1,1,2,5,2,2,1,6,1,1,1,1,1,1,5,1,1,4,4,4,5,5,3,3,3,2,4,5,5,5,4,5,5,5,5,4,4,4,I could support it more strongly if I had an idea of how much carbon dioxide one unit could sequester and at what cost.,5,3,1,4,4,4,4,4,5,5,4,4,2,2,4,3,1,4,2,2,2,2,4,4,4,1,1,5,4,4,5,5,1,2,5,,1,,56,1,7,,
947,2,2,2,6,6,,48,,3,,3,,1,,1,,4,,4,,5,,4,,3,,,5,2,A poor solution that only addresses one issue we need to deal with. nature-based solutions can address many issues simultaneously,2,,1,4,4,2,1,1,1,6,6,5,6,4,4,5,4,5,3,1,6,6,3,6,1,2,3,2,4,2,6,2,1,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,,3,1,2,3,2,6,3,6,4,3,6,6,3,6,3,2,1,4,1,1,4,3,4,5,4,2,1,4,4,4,5,4,1,6,4,,1,,47,3,7,,Some questions were vague and difficult to answer because they lacked appropriate context
1231,2,4,4,2,4,,49,,3,,4,,1,,6,,1,,5,,3,Depends of which unforested areas are being replaced,2,,5,,,5,4,"I would support given the benefits it could provide. However, a carefull cost-benefit analysis have to be performed.",2,,2,3,2,3,2,4,4,4,2,4,1,4,2,5,4,5,1,5,5,4,4,4,4,4,2,3,2,2,3,4,3,5,5,5,3,3,6,2,4,5,3,5,4,4,4,4,6,3,4,,3,4,4,4,4,4,5,5,4,4,5,6,2,2,6,6,2,4,2,2,2,2,3,6,4,5,1,3,2,4,5,3,1,1,5,,2,,12,3,6,,
602,2,4,3,2,4,,49,,3,,4,,2,,3,,1,,5,,2,,3,,5,,,5,4,"NETs action is likely needed to avoid the worst of predicted climate change. We need to do something, and this option, to me, may be one with little public opposition.",2,,1,1,1,3,4,2,4,4,6,5,4,3,4,3,3,4,3,1,2,3,4,2,2,3,2,1,3,1,3,4,3,4,4,4,3,3,4,3,4,4,3,4,5,5,5,5,5,5,4,,2,3,3,4,4,4,3,5,4,3,4,3,3,6,3,4,1,5,1,1,4,2,5,4,5,1,2,5,4,5,5,5,1,2,4,,1,,31,2,7,,Based in Japan.
2182,2,4,4,2,4,,47,,2,,2,,1,,3,,1,,5,,1,,1,,4,,,5,3," Before I could support such a project, I'd like to know what the carbon footprint would be to establish and maintain a Solid Carbon project offshore.",2,,1,4,2,3,3,1,6,6,6,3,3,4,4,4,5,5,5,6,6,6,2,2,2,2,4,5,4,5,3,3,6,4,3,3,2,2,6,2,4,4,2,2,4,5,3,2,6,3,3,,2,2,2,4,4,4,4,5,5,4,3,4,2,2,4,4,2,4,5,4,2,2,4,4,4,2,5,5,2,5,5,5,1,5,2,,1,,39,1,7,,
762,2,2,4,4,3,,48,,2,,2,,1,,6,,3,,5,,5,,5,,5,,,2,2,This is a bandaid solution and doesn't address the drivers behind the rise in CO2 levels. Useful to buy time but alone  it doesn't change the direction of the problem. Evidence of storage loingevity is also still required.,2,,1,1,1,3,3,3,6,6,4,4,3,5,4,3,5,5,3,3,3,2,3,4,5,4,3,4,5,2,2,2,3,2,3,2,1,1,1,1,3,3,2,3,3,3,3,3,2,2,2,You have presented no evidence that it is an effective solution or that the CO2 is stored long term.,2,3,3,3,3,3,4,4,3,4,3,1,1,6,1,1,1,1,1,1,1,1,5,2,5,1,1,4,4,3,5,3,1,2,4,,1,,21,2,7,,
2476,2,4,5,5,4,"The use of ""1.5 degrees"" is vague. It needs to have a reference value. Is it 1.5 deg compared with 1980 temperatures, or 2021 temperatures? Also, there are lots of different climate models available. They provide a range of outcomes. So the answer might depend on which model the responder has in mind. ",49,"Would depend on the type of products made. But, reuse, recycling is a viable option. ",3,"This process has a very long time frame for effective results to be realised. If adopted, it should form part of a wide range of strategies. ",3,"As for the offshore ""solution"". ",1,"Again, I don't like adding potential pollutants as it is likely to result in different problems. ",1,"Too intensive. Not the right time or space scale for a valid solution, or partial solution. ",1,"I'm not a fan of adding potential pollutants to solve one problem as it often results in another problem. For example, adding N to a warming ocean environment may lead to harmful algal blooms. ",3,"Yep, again, this is long term. ",5,"Long term, but should form part of the solution. ",3,"Again, long term solution. Could be used in conjunction with shorter term solutions.  ",4,,"The strategies seemed to be more at the long term end. We need both long and short term. The latter from solar, wind, wave/tide action etc. ",5,3,Sounds good in theory. Will the practice result in the predicted figures? Offshore work is expensive and subject to harsh environmental conditions. ,2,,2,3,1,3,3,3,2,2,2,4,2,3,3,5,5,5,5,4,2,3,4,2,2,3,5,4,4,5,2,3,3,4,3,3,2,3,4,4,5,5,2,4,5,5,4,4,3,4,3,Should be part of a broader suite of potential solutions. Won't work in isolation. ,1,3,3,1,2,1,2,4,3,1,4,1,5,1,1,1,1,5,1,3,1,1,5,1,1,3,1,5,5,5,5,5,1,5,5,,1,,49,3,7,,
